review,label,y_predict
nước trái_cây dành cho trẻ_em được người tình lý_tưởng giấu mặt giấu tên tóc xoăn vừa mập vừa lùn gặp một lần rồi thôi mua cho uống cũng được đầy mùi_hóa học như nước và hương_liệu trên bao_bì có ghi vitamin a b c gì đó vs bao_bì cute tưởng cho con_nít heo thì nên uống ai_ngờ thiết_kế miệng chai ik như chai nước rửa chén lun cầm chai mút mút gặm gặm một hồi khó uống vl có cảm_giác như đang uống 1 chai nước rửa chén đích_thực,1,2
bánh nêm nếm cũng vừa ăn trong nhân chủ_yếu bắp_cải thịt ba_chỉ ban_đầu ăn thấy ngon nhưng về sau dễ bị ngán,1,2
quán nhỏ có bàn ghế thấp ngồi mỏi đít,1,0
lúc đó ngay đó bạn a gọi với vào hỏi một bạn c giấu mặt mình ko thấy,0,1
món này ăn hoài sao ko chán ta ơi,2,1
sau đó mình qua bên đường đối_diện quán để lấy xe thì phát_hiện đã để quên cái ly chạy vào hỏi thì nhân_viên a nói ko biết nhân_viên b thấy quen vì có lên món các bàn quanh chỗ mình ngồi mặt thảo mai ngơ_ngác ko biết gì,0,1
mình cũng ăn_ở đây khá nhiều lần do gần nhà freeship tận nhà,0,2
thề là nó bự như cái bánh_xe_bò cỡ trái banh tennis là ít,2,1
must try,2,0
cửa kình bàn ghế ko đc sạch lắm p phở 24 h có phần 29k giá rất đc,0,1
chỉ bán từ chiều 6h đến tối riêng tối t2 quán k mở buổi tối đông lắm nha nhg dạo này mình thấy nó hơi xô_bồ rồi mà bình_dân nên thôi chấp_nhận đây là phần khủng_long bạo_chúa 1 phần cũng khá nhiều gồm sashimi cá_hồi sushi với thanh cua trứng_cá_hồi sò lại có 8 cuốn cali với tôm và 8 cuốn cali với thanh cua và trứng phần này 2 ng ăn cũng ok luôn nha,0,2
quán này bình_dân lắm như ở nhà_vậy đó,0,2
món ăn đem ra đẹp quá ko biết làm_sao mà con cá uốn_éo được vậy nữa kkk,2,1
mì của quán cay theo từng cấp_độ nên các bạn k ăn được cay vẫn ăn được nha,2,0
nên hẽm có sâu thêm khó thêm cũng gật chịu hết,1,0
nằm trong hẽm đường đi muốn bế_tắc luôn đổi lại với mình thì món ngon lạ_miệng,1,2
thì thấy cái tay thò ra đưa cái ly vừa_mới được rửa sạch ngay tức_thì,0,1
trc khi đi lần này thì đã đi hụt 1 lần vì chị chủ quán bệnh nên mở_cửa trễ quán thì cũng bé thôi vì nằm trên lầu 4 của 1 chung_cư chị chủ quán cũng thân_thiện matcha mille crepe thì crepe và kem ngon nhg chsao tự_dưng cho dâu vào giữa các lớp crepe khi ăn toàn nghe vị chua của dâu khá là khó_chịu vì mình ghét chua 1 slice 55k,1,2
thêm rau rừng rau củ luộc nữa phải nói là quên cả lối về,0,2
thatthemthuong hơi bé so với các quán bình_thường thì phải ăn cx ổn,0,1
nhà_hàng hảng cảng tuy đắt nhưng chưa bao_giờ khiến mình thất_vọng về bất_cứ món nào,2,1
ngon nhiều phô_mai ăn dễ ngánthố nhỏ_xíu mà 2 ng ăn chắc dc tại 1 ng ăn ngán quá,1,2
ở đây có 2 quán lận chả biết nào có trước nào sau,1,0
tái_mềm,2,0
còn có chè khúc bạch không_thể không nhắc ở ht,2,0
quán mang không_gian cổ_kính kiểu nhà xưa cũ nên khá độc_đáo,0,2
710 xíu_mại khô vỏ mỏng tôm và thịt nhiều chứ không trộn bột như những chỗ khác,1,2
điểm cộng duy_nhất là thịt ếch tươi,2,0
dĩa gỏi lòng gà có 30k thôi mà quá trời mình tui ăn lặt lè mới hết,2,1
để ăn được món này rất tricky mà cô bán hàng lại ra_chiều khó_chịu khi khách hỏi có thịt vụn hay không,0,1
chạy qua chạy lại mấy vòng cuối_cùng hỏi chú bảo_vệ gần đó thì nói hnay nghỉ bán,1,0
gửi xe free,2,0
sợi hủ_tiếu dai dai giống như sợi hủ_tiếu làm món pad thái vậy đó,0,2
chưa ăn và muốn thử thì cân_nhắc sẽ thấy hơi mắc và không ngon như mình nghĩ vì họ nấu theo khẩu_vị nhật hơi nhạt nhưng rất thanh,1,2
sợi mì ăn ngon không bị bở nước_dùng hơi mặn 1 xíu gyoza ăn cũng ngon nhưng thấy nó hơi cháy xém không biết kiểu của nó là vậy hay do quá_lửa,2,1
sò lông làm theo kiểu luộc trước rồi hâm lại và cho hành lên hành thôi không phải mỡ hành nhé,0,2
phục_vụ thì tạm được,1,2
000đ không hẳn là mắc vì cục bò viên này thật_sự rất to,0,2
nhận_xét tí về quán cùng là quán hẻm spaghetti nhưng bên đây chịu đầu_tư về không_gian hơn bên gò_vấp,2,0
ngồi ngoài vỉa_hè cuối đường nvn đồ ăn ra nhanh cũng khá nhiều người tới ăn đó nha tới trễ là không còn giò xương gì đâu,0,2
không_gian quán hơi nhỏ nhưng được cái phục_vụ rất dể thương,2,1
lùng_sục thì cũng ra đến địa_chỉ nhưng hôm_qua nghỉ bán và có thông_báo trc nên thôi ko có gì để nói,0,1
15k siêu lạ miệng30k5 chiếc pho mai que khá ngonphục vụ hơi kiêu_chảnh,0,1
phục_vụ thì rất bê_bối,1,2
quán phở này với phở hùng khá là đông nhưng mình vẫn thấy phở hùng ngon hơn dù mắc hơn,0,2
ở đây ngon nhất là bò lá_lốt,0,2
ahihi biết thêm là cay không dai đâu các cậu đừng lo ăn thì cay bỏ ra 2 phút là hết cay ngay chứ gì nghe bảo_vệ bảo đang xây thêm cái lầu nữa hi_vọng quán tăng_cường thêm nhân_viên và chất_lượng phục_vụ,2,1
mình chỉ ăn có mỗi phần đó nên không biết_mấy món khác thế_nào chứ món này hơi nhỏ so với ảnh,0,1
ăn thường_xuyên ở đây,2,0
ngọt ơi là ngọt,2,0
cái vấn_đề chính là sau 2 năm k ăn nay quay lại ăn và mong ăn được vị ngon như xưa,1,2
giá tuy mắc hơn bên khác 3 4 ngàn thôi,0,1
xương mềm rục nên kosợ mắc xương,2,1
nồi lẩu to thơm_phức siêu hấp_dẫn,2,0
được cái là ở đây menu phong_phú từ ăn vặt tới ăn no thích_hợp cho mọi lứa tuổi,2,0
đặc_biệt hơn nữa là có sate,2,0
nước ở qán làm ko thích lắm ko đc ngon,1,2
đông nên khói cay xè mắt,1,0
bếp như hình và nướng trên cái vỉ nên phải cẩn_thận ko đồ ăn chạm thành bếp rất mất vs,1,2
cũng như khi dùng pad thái thiếu chanhtắc cho vào trộn lên là mất ngon hết đôi phần,1,2
thấy quán này được khen nhiều nên tới thử,0,2
tuyệt cú_mèo con nhà bà dẹo,2,0
bột bánh mềm_dẻo,2,0
bún gạo sò điệp con nào con náy to thiệt to với bào_ngư nữa,2,0
đây chỉ là một xe bánh_mì nhỏ ngay góc đường lý tự_trọng đặng trần côn ngồi trên vỉa_hè bàn nhựa ghế nhựa lâu_lâu còn bị mấy anh dân_phòng đuổi,0,1
mị đúng là hiền nhất quả_đất mà đả vại còn phụ_thu 10 ngày tết nữa,1,0
ờ nhỏ lớn chắc chĩ chưa bik mặt_mũi họ nhà nhặn ruồi như nào nhờ,1,0
mình thích khoản cứ thỉnh_thoảng đi châm trà cho khách như ngoài cafe,2,0
ngoài món này ra còn có bún thịt nướng nem nướng các loại,2,0
chả là bữa tết tây mị đi trẩy_hội quá_sức đói lả nên ghé qua homemade phunhuan ăn lần 2 mẹt đó đùa thôi còn đồng_bọn,2,0
có lần mình đến sớm từ khi quán mới mở thì cổ bảo là sớm quá thịt chưa rơi ra lấy đâu mà bán có hôm mình tới trễ thì nói là tới giờ này thì còn thịt đâu mà bán nói_chung để ăn được đồ ăn ngon là một cuộc_chiến dai_dẳng và cần nhiều may_mắn,1,2
xôi trộn bùi thị xuân 25k hong ngon như bạn mong_đợi xôi đc chan nước từ trong lúc hấp hay răng mà nhão lắm,1,2
món này khá béo phô_mai cho nhiều áo hết con hàu luôn,0,2
cá viên ướp vừa cà_ri thì hơi nhìu dầu mè qá có xả nhưng k đủ bốc mùi thơm nồng tính ra 1 dĩa_vầy mà tới tận 38k hơi đắt,1,0
mong quán khắc_phục,1,0
ở đây không xài mì trứng loại ăn hủ_tiếu mì mà xài mì trứng loại mì vắt bán ở mấy cửa_hàng tạp_hoá thì phải mà mình thì thích ăn loại mì kia hơn mì này hổng đúng gốc mì người hoa gì hết chơn tt,1,2
bộ bảnh hơi dày hấp còn bị bể bánh nhưng vì giá rẻ nên mình cũng không đòi_hỏi nhiều đánh_giá là ăn vẫn ok,0,1
rau tươi kèm có bánh_mì với nc ngọt nữa,0,2
ayguuu,2,0
gửi xe free,2,0
món ăn này khá thường nhưng đắt,1,2
quán ốc nổi_tiếng xưa giờ và mắc kinh,1,2
về món ăn xôi trộn ngon mình ra đây toàn ăn xôi trộn hnay ăn món bánh_đúc mặn cũng k làm mình thất_vọng 2 th bạn ăn xôi đùi gà với xôi thập_cẩm cũng khen ngon,2,1
buồn,1,0
ui da,2,0
ở đây đc mỗi gà viên mật_ong ngon kimpapăn cũg được còn lại trà đào mì trộn mình k thấy ngon,1,2
phong_cách nước_lèo ở đây nhạt nhưng kiểu nước hầm xương chứ k phải nhạt kiểu lạt_lẽo lần nào ăn cũng húp gần hết tô,2,1
úi ùii này là bò nướng dú heo nướng hehe,2,0
gà nướng anh tư được bạn_bè giới_thiệu cho quán ni nói cũng ngon nên từ nam sg cũng ráng lết qua đông sg ăn gà nướng 1 con 130k sau khi ăn 1 con có quyền order thêm 12 con chứ kêu 12 con từ ban_đầu hình_như hổng được,0,2
nói_chung mình cũng k ấn_tượng nhiều,0,2
mayo ăn okei,2,2
bundaumamtom,0,0
bún mắm_nêm thập_cẩm 25k phải chạy xe sâu vào cuối hẻm mới là quán gốc,0,0
tbinh 2ng đi cỡ 250 300k,0,0
giá 2 người trung_bình tầm 100k,0,0
nhg rasp yogurt và milktea khá ngon yogurt 35k ăn hoie béo mát lạnh và chua vị việt_quất tsua ngọt vừa rất thích,2,2
nhận_xét chung của mình về đồ ăn_ở đây là khá ok vì mình là ng bắc nên cũng rất hợp_khẩu_vị,2,2
điểm cộng gần nhà cô chủ và mấy bạn phục_vụ dễ_thương mình kêu món đợi bạn tới bị nguội cô chủ kêu để cô hâm lại ăn nóng mới ngon ️ điểm trừ quán hơi nhỏ,2,2
quán còn có các loại bánh nổi_tiếng ở huế nhưng hơi đắt nên cũng chưa ăn thử xem sao khi nào có điều_kiện nhất_định phải ăn cho biết,0,0
rất ngon mà giá hơi mắc nhưg đồ ăn rất chất_lượng nên mọi người yên_tâm bạn nào muốn thử thì ghé ️,2,2
mình gọi phần cơm bò trang_trí đẹp_mắt nhg mùi_vị thì k xuất_sắc lắm chấp_nhận đc thôi 85k phần này,0,0
bún ở đây theo mình thì ăn khá ngon nước_ngọt trong sợi bún nhỏ vừa ăn thịt thơm mềm rau nhìn cũng sạch một tô bún cũng khá nhiều giá_cả thì hơi cao một_chút 60k nhưng mà chất_lượng,2,2
nhớ để_ý là quán đóng_cửa vài các ngày thứ 2 nha burder ở đây phải nói là ngon và to nhất sg luôn giá có hơi đắt từ 200 250k nhg riêng loại đặc_biệt the soul burger 350k siêu to và siêu ngon 2 ng mới ăn hết 1 phần đó,1,1
mình mê bún mọc nhất hồi nhỏ đc mẹ dắt đi ăn xong ghiền luôn,2,2
2 người 100k là ok nha,0,0
hơi bực,1,1
thực_đơn mì cay kim chi bò 39k mì cay kim chi hải_sản 39k mì cay thực cẩm hải_sản 49k kimbap 35k takoyaky 35k nước uống trà sữa nước_ngọt trà_chanh,0,0
bò né thì mình thấy cũng bình thương cách ướp cũng không có gì quá đặc_biệt thậm_chí mình có hơi thất_vọng vì miếng thịt nhìn lèo_tèo quá cũng có_thể do mình kêu_phần thập_cẩm nên mỗi thứ họ cho một_tí,1,1
nói_chung đồ ăn ngon nhưng phục_vụ còn hạn_chế nên cho mức bình_thường 3,1,1
quán chỉ bán buổi sáng,0,0
nước_lèo ngọt xương mình ăn ko bị say bột_ngọt nữa,2,2
2 người tầm 70k nha,0,0
bún mọc ở đây tính ra ko mắc đâu vì 1 tô siêu nhiều đủ loại chả mọc thì to và dai,2,2
cái nem cua_bể cũng siêu ngon lun nha,2,2
nhược_điểm là quán vỉa_hè nên tối hơi khó tìm bánh đợi lâu lần nào đến cũng không còn bàn,1,1
bún riêu ngon 25ktô nước đậm_đà tuy thoang_thoảng mùi mắm bạn chưa bao h bỏ mắm ruốc vào bún riêu thấy cũng k đến_nỗi tệ,0,0
bún đậu cầu gỗ không có menu chỉ mang suất ăn_theo đầu người 2 người là 110k rất giống phong_cách quán bún đậu gần chợ thành_công hà_nội,0,0
bún_bò rất ngon giá_cả phải_chăng không_gian sạch_sẽ thoáng mát nhưng lâu_lâu phục_vụ hơi chậm chút nhiều khi bún hơi ít mình là con_gái mà phải mua thêm 1 tô nữa ăn mới no rất mong quán có_thể điều_chỉnh lại lượng bún chút ạ 3 3,2,2
gồm 200g beef 4 miếng bacon cheddar cheese hành_tây nướng và trên cùng là trứnng lòng_đào và quá trời rau ăn kèm luôn trg phần burger có bao_gồm salad và orion rings hoặc fries quán bé thôi nhg đảm_bảo cực chất_lượng ăn là ghiền,2,2
bún mọc ngon quán này có tiếng lâu năm rồi đó bảo_đảm ăn là thích,2,2
quán sạch_sẽ,2,2
nước_dùng khá đươc vừa_miệng,2,2
hạt cháo nở bung ko bị lỏng quá rồi chắc nấu chung với vịt mà ngon hơn bình_thường,2,2
2 người ăn bún th thì 90k là đủ,0,0
chi_nhánh mới rộng ơi là rộng sạch_sẽ thoáng mát ko phải chịu tình_cảnh chen chút như bên tô hiến thành đâu nhoa,2,2
nchug mình sẽ ko quay lại nhg thấy nhiều bạn cũng khen,1,1
mình có order trà sữa nữa 29k pha k ngon lắm mà còn khá lâu nữa tận 20p để pha 1 ly trà sữa,1,1
cá này là cá gì mình ko nhớ lắm chỉ biết là siêu ngon luôn,2,2
giá_cả hơi mắc 1 tí trung_bình 2 người khoảng 200 300k nhé,1,1
bàn ghế hơi dầu_mỡ nhg quán steak nên cũng phải chịu thôi,1,1
bún riêu ốc thanh hải 30ktô nước_dùng thanh thơm_lừng mùi riêu cua noia chung nếu thèm buan ốc kiểu bắc thì cứ chỗ này mà thẳng tiến ở đây còn có món ốc nhời thịt nổi_tiếng lắm nhưng hôm mình ghé thì để quá nhiều tiêu làm mất hết vị của ốc ăn xong tiếc 60k mono9x,2,2
thích chi_nhánh bên này hơn ntmk vì thấy nó thoáng hơn steak miếng bò dày mềm ướp vị vừa ăn có trứng và bắp mỹ ăn kèm nữa pate k thích lắm nhg sốt tiêu khá ngon khoai_tây giòn_rụm,2,2
thành_phần gồm bún lá đậu rán chả cốm và thịt lợn,0,0
giá 198kp,0,0
wifi available mà ko kết_nối dc chán,1,1
món ăn được decor lạ hấp_dẫn và đẹp_mắt,2,2
quán có 2 địa_chỉ 224 phạm văn đồng và 286 phạm văn đồng quán lúc_nào cũng đông nên mấy bạn phải đợi có bàn,0,0
ko kịp cảm_nhận j lun,1,1
quán rộng_rãi sạch_sẽ sáng_sủa ngay đầu hẻm dễ thấy,2,2
topping như hình cái riêu cua đc vo thành_viên ngon nè chả cá_chiên cũng ngon,2,2
trải nghiệm ăn thử cho biết thế_nào là xèo xèo trong chảo gang nóng khá vui_tai mình chọn phần bò úc 75k miếng bò bự nhưng lát bò hơi mỏng bò mềm rất ngon nhưng rau củ luôc ăn kèm ko thích cho lắm,2,2
sushi88 quán sushi bình_dân ngồi vỉa_hè thôi nên cũng k đòi_hỏi gì nhiều,0,0
thích lắm giá_cả phải_chăng 30 50k thôi,2,2
nhìn menu thấy giá ok nhưng món ăn đem ra ít lắm,1,1
mình gọi 2 tô đều không lấy chả,0,0
phục_vụ khá chu_đáo nhân_viên giữ xe cũng nhiệt_tình lắm,2,2
cá tươi ăn thịt chắc và hơi dai tí,2,2
một miếng bò con_con 1 quả trứng vài cọng khoai tay chiên và 2 lát xúc_xích trông nó thảm,2,2
bún đậu ở đây la ngon nhất luôn ấy quán lúc_nào cũng đông nhưng có cái phải đợi hơi lâu,2,2
à ly trà tắc 15k thì hơi chát ấy,1,1
mình thích nhất là món pizza ở đây mùi_vị ngon cựcăn 1 cái là no ngất_ngư luôn ý trà đào thạch phô_mai cũng rất ổn,2,2
nhìn_chung không đắt cũng không rẻ chỉ thấy quán này thật liều vì bún đậu gần như hết hot rồi lại mở ra bán,0,0
giá thì mắc 2 người hết 300k mới no,1,1
mình với nhỏ bạn chèo đèo vượt suối từ bình thạnh qua đây,0,0
2 người vào đây tầm 120k trở lên giá_cả khá cao,1,1
bữa_qua đây mình thử bò bít tết pate và bò bít tết trứng thì nhận_xét là miếng bò nhỏ quá mỏng nữa ăn cũng bình_thường ko có gì đặc_sắc,1,1
không_gian quán rộng_rãi và thoáng mát phục_vụ khá ok,2,2
miếng của bạn mình thì trắng trắng còn miếng của mình 1 bên còn đỏ_chót 1 bên cháy xém rồi,1,1
nếu đi 2 người gọi thêm nước chắc cỡ 100k áh,0,0
gọi thêm cái đầu cá cho đủ bộ đầu cá béo và nhiều thịt lắm,2,2
burger chỉ ở mức bình_thường ko có gì đặc_sắc mà quá mắc luôn,1,1
giá_cả hơi mắc 1 dĩa cơm sườn ko 35k khăn 2k,1,1
quán lịch_sự thoáng phục_vụ niềm_nở,2,2
có vẻ làm không đều tay làm ảnh_hưởng chất_lượng món bò,1,1
nem nướng mắc 1 phần 75k mà hok nhiêu hết ăn kèm có rau_sống này_nọ cuốn ăn nhờ vậy mới no được,1,1
mình thích các món nướng đi ăn cơm tấm người_ta thường kêu đầy_đủ còn mình thì mỗi cơm và sườn là đủ rồi cơm nóng kêu miếng sườn mới nướng ra vẫn còn đang khói nghi_ngút ăn mới đã sườn ở đây to có_lẽ cơm và sườn ngang nhau luôn có chút mỡ nữa ăn mềm thơm ko bị ngán,2,2
nước_mắm pha vừa_miệng lắm thêm ớt cay cay nữa ăn siêu ngon,2,2
bánh_bèo ở đây không phải kiểu bánh_bèo chén hao bao với bánh_bèo của miền nam bên trên có tôm cháy siêu ngon luôn tôm tươi á ko phải tôm kg màu đỏ đâu,2,2
nhưng so với mấy chi_nhánh khác chỗ này khá đông tầng trệt là tầng 2 đều đầy khách tầng 1 là nơi chế_biến,0,0
bánh_mì không ngon_ăn kèm bò là cà_chua dưa_leo với vài miếng xà_lách,1,1
nên đi ăn lúc_nào cũng phải có 1 thằng con_trai đi theo thì long_thể của mình mới yên_đc,0,0
mỗi lần thèm ốc là chỉ lết vào cái hẻm này mà ăn thôi bản_thân mình thấy ở đây ngon giá tb phục_vụ nhanh một phần nữa là bụng mình yếu lắm ăn ốc trễ quá 19h hay ăn trúng ốc linh_tinh là sẽ hẹn_hò với anh tào ngay nhưng khi ăn chỗ này thì mình k bị gì dù 23h mình có_ăn ốc đi_nữa tuy chỗ này đông lắm mình thấy nhiều ng lớn nhỏ đều ăn nên có cảm_giác quán phức_tạp mỗi lần vô chỗ là long thể mình cứ thấy bất_an,2,2
quả thưc đi lần đầu thấy xa ơi là xa và hơi khó tìm đường nữa vì nhà_hàng nằm ở vị_trí khá là khuất,1,1
lúc mình và nhỏ bạn đến nơi thì quán khá vắng chỉ có 1 bàn khách,0,0
chả 12k siêu ngon luôn hok biết phải quán tự làm ko nữa,2,2
còn đồ ăn thì hơi thất_vọng vì ít loại có tôm chả heo quay thôi ko có mực nhỉ rau thì cũng nhiều nhưng chưa đc đầy_đủ,1,1
bún mắm ngon giá_cả tương_xứng chất_lượng,2,2
2 người ăn cũng gần 150k,0,0
giá mỗi tô 35k gồm tôm mực thịt heo nạt cắt lát và heo quay,0,0
quán này nổi_tiếng nhờ nó mà kkk,2,2
gia_vị thì ngọt mà_lại ít quá ăn chưa đủ lót bụng,2,2
tất_cả đều tươi ngon,2,2
hihi,2,2
nói_chung là ko hài_lòng lắm,1,1
định gọi thêm 1 chai rượu sâu chít uống cho đúng điệu nhưng mà nhìn mấy con sâu đó ghê quá nên k dám uống,0,0
thịt cua thì bao_la tươi lắm luôn,2,2
miến xào ngon vừa_miệng ko có bị vón cục đâu,2,2
2 người tầm 500k đi ít người chia ra hơi mắc,1,1
lẩu gà thì thịt dai chắc nước_lèo ngọt rau ăn cùng rau rừng ăn rất lạ và ngon,2,2
có rau_muống bắp_chuối giá rau đắng súng và rau_thơm đủ đầy hết,0,0
món ăn bt ít và giá cao,1,1
hihi,2,2
mắm me vừa_miệng lắm không quá chua cũng không quá ngọt,2,2
bàn ghế ko dc lau_chùi sạch_sẽ khách zô mà nhân_viên còn chưa tới dọn,1,1
vì biết trước là hẻm nên thành_ra cũng dễ tìm,0,0
nhà_hàng làm đồ ăn ngon pv ok đó nha,2,2
mà sao thấy cô chú bán hàng có vẻ không vui làm mình nhìn thấy cũng hơi sợ sợ,1,1
món ăn ngon giá rẻ chỉ tầm 10k 1 bánh crepe trà đào cozy 8k pizza tầm 12k phục_vụ dễ_thương thân_thiện,2,2
mình và nhỏ bạn order 1 dĩa rau_dạ yến xào thịt bò 1 ếch xào măng chua 1 phần xôi mường và 1 lẩu gà,0,0
mình là người bắc nhưng cũng chưa từng ăn món dân_tộc tây bắc nên thấy khá tò_mò với các món ăn trong menu,0,0
bún mắm ở đây ngon nhờ nước_lèo ko bị mặn quá hay ngọt quá túm lại là rất vừa_miệng,2,2
nói_chung chấm cùng tôm mực thịt và rau hết sẩy luôn,2,2
3 4 quán lẩu nướng đối_diện royal city,0,0
order 2 ly size ragular mỗi ly 59k vị greentea choco chunk và chocolate covered w strawberry ăn mấy miếng đầu thấy tạm tạm chứ lúc sau ngọt ngây à nhất là vị greentea mình phải bỏ 12 ly luôn kem cũng nhiều nhg ngọt quá nên mau ngán ý,1,1
thích_hợp dzắt gia_đình đi ăn sáng chủ_nhật,0,0
ngon ở chổ khi trộng hến đều với các nguyên_liệu trong cơm thì đậm_đà thơm mùi hến hơi cay cay kiểu ớt ăn thích cựccc,2,2
đã vậy còn có thêm chén nước hến nóng_hổi ngọt vị thịt hến ra chứ không kiểu mì_chính,2,2
tuy hơi đắt nhưng ăn rất ngon,2,2
bún_bò huế cho bữa sáng chất_lượng,0,0
tô thập_cẩm 50k cực_kì chất_lượng nước_lèo thoảng mùi mắm đúng chất huế k ăn cay đc phải dzặn k là nước_lèo cay lắm ăn toát mồ_hôi mà mãn_nguyện j đâu nạm mềm ngon chả tôm homemade cực chất,2,2
2 ng đi ăn hết 100k cho bữa sáng no_nê,0,0
quán đông cực_kì nhưng gà lên nhanh còn nóng sơ_sơ nhưng nhanh nguội lắm,1,1
thịt gà mềm vị ướp vừa ăn chắc_chắn hổng phải gà ta rồi gà ta làm j có_giá này ăn kèm với bánh_mì và sốt chấm của quán sốt chấm cũng ngonn nói_chung mình k có j phàn_nàn nhưng mà thiệc tình là thấy hổng có j đặc_biệt,2,2
điểm tụ_tập giá rẻ phục_vụ tận_tình nhất là khoảng xe_cộ giữ xe miễn_phí khăn lạnh và trà đá tính xiền đb gà lên nhanh nhưng tính tiền siêu lâuu,2,2
maybe will come back 2 ng đi ăn thêm trà đá khăn các kiểu phải 150k,0,0
